model,split,n_rows,MAE,RMSE,MedianAE,MdAPE_pct,skill_vs_persistence
persistence,val,612,6.756923202614383,24.93017881622242,1.1339999999999986,4.177552580728242,0.0
linear_trend,val,612,7.281436928104579,33.25101740534256,1.1032999999999982,3.991441199617414,-0.07762611913174511
ridge_level,val,612,7.291692120882306,25.377549276930413,2.035162237248551,6.59956200541873,-0.07914385027507964
ridge_delta,val,612,7.2672467941255094,25.050726544538964,2.054995781855073,6.613956335365046,-0.07552603103638544
hgb_level,val,612,18.856089994391983,142.70581225942206,1.2870129079420565,5.021450869346139,-1.7906325747636442
hgb_delta,val,612,6.873553111565943,26.03275909494153,1.2144936809900297,4.526685935925652,-0.01726080132247687
xgb_level,val,612,8.528167070217384,33.17132679744302,1.2564884338378768,4.7058269309311855,-0.2621376349101723
xgb_delta,val,612,6.184474685316093,19.016042434406767,1.1073937163352943,4.634675849747899,0.08472029356154276
persistence,test,762,11.004284776902887,43.97100808399293,1.3674999999999997,5.055100013154645,0.0
linear_trend,test,762,9.751375065616795,35.06446893649727,1.450200000000006,5.4513535302730345,0.11385653285853248
ridge_level,test,762,10.577546404377678,34.48388811982431,2.1935792274611696,9.051563742396752,0.038779291991870246
ridge_delta,test,762,10.603375349409063,34.5976919158332,2.2190474255479478,8.98236320247617,0.0364321203623611
hgb_level,test,762,22.479214414129757,160.41357131004423,1.4907306235977966,6.16741963129746,-1.0427692366987658
hgb_delta,test,762,10.369396008693244,39.920872439289354,1.41894624108759,6.330442819253798,0.05769468721331383
xgb_level,test,762,31.181341581209434,272.67361606335345,1.6157034301757918,6.306141148949868,-1.833563672094035
xgb_delta,test,762,9.344609130726708,33.00876885698561,1.4857403692603128,6.382935688502053,0.15082085567793602
